time,bestBidPrice,bestAskPrice,bestBidVolume,bestAskVolume
999.000000,9.27,9.28,85700.000000,51784.000000
1000.000000,9.27,9.28,21200.000000,49784.000000
1001.000000,9.27,9.28,11700.000000,99184.000000
1002.000000,9.27,9.28,10600.000000,98684.000000
1003.000000,9.27,9.28,70200.000000,96584.000000
1004.000000,9.27,9.28,74700.000000,90584.000000
1005.000000,9.27,9.28,100.000000,90584.000000
1006.000000,9.27,9.27,64900.000000,6900.000000
1007.000000,9.27,9.27,64900.000000,6900.000000
1008.000000,9.27,9.27,72100.000000,6300.000000
1009.000000,9.27,9.27,54700.000000,3600.000000
1010.000000,9.27,9.27,44100.000000,1600.000000
1011.000000,9.27,9.27,72400.000000,600.000000
1012.000000,9.26,9.27,101700.000000,6400.000000
1013.000000,9.26,9.27,101700.000000,5100.000000
1014.000000,9.27,9.27,300.000000,4800.000000
1015.000000,9.26,9.27,98100.000000,6800.000000
1016.000000,9.27,9.27,1300.000000,21900.000000
1017.000000,9.27,9.27,1000.000000,21700.000000
1018.000000,9.26,9.27,85600.000000,900.000000
1019.000000,9.26,9.27,83300.000000,400.000000
1020.000000,9.27,9.27,200.000000,21500.000000
1021.000000,9.27,9.27,300.000000,41500.000000
1022.000000,9.27,9.27,42100.000000,38700.000000
1023.000000,9.27,9.27,46800.000000,38700.000000
1024.000000,9.27,9.27,47500.000000,33900.000000
1025.000000,9.27,9.27,26400.000000,33900.000000
1026.000000,9.27,9.27,26400.000000,30900.000000
1027.000000,9.27,9.27,18200.000000,30900.000000
1028.000000,9.27,9.27,18600.000000,29400.000000
1029.000000,9.27,9.27,18300.000000,29600.000000
1030.000000,9.26,9.27,112900.000000,5000.000000
1031.000000,9.26,9.27,112900.000000,4700.000000
1032.000000,9.26,9.27,114100.000000,2900.000000
1033.000000,9.26,9.27,114000.000000,2900.000000
1034.000000,9.27,9.27,4500.000000,2900.000000
1035.000000,9.27,9.27,4500.000000,2900.000000
1036.000000,9.27,9.27,3000.000000,2900.000000
1037.000000,9.27,9.27,2700.000000,4500.000000
1038.000000,9.27,9.27,3300.000000,4500.000000
1039.000000,9.26,9.27,114900.000000,8900.000000
1040.000000,9.26,9.27,116100.000000,8900.000000
1041.000000,9.26,9.27,105900.000000,5100.000000
1042.000000,9.26,9.27,118800.000000,7300.000000
1043.000000,9.27,9.27,9800.000000,8800.000000
1044.000000,9.27,9.27,9800.000000,7300.000000
1045.000000,9.27,9.27,9100.000000,7300.000000
1046.000000,9.27,9.27,9800.000000,8600.000000
1047.000000,9.27,9.27,9300.000000,9700.000000
1048.000000,9.27,9.27,8000.000000,9700.000000
1049.000000,9.26,9.27,150900.000000,9700.000000
1050.000000,9.26,9.27,151700.000000,1000.000000
1051.000000,9.26,9.27,148500.000000,1000.000000
1052.000000,9.27,9.27,1000.000000,13300.000000
1053.000000,9.26,9.27,149000.000000,18300.000000
1054.000000,9.26,9.27,146600.000000,18300.000000
1055.000000,9.26,9.27,148100.000000,6300.000000
1056.000000,9.27,9.27,4300.000000,7600.000000
1057.000000,9.26,9.27,127300.000000,400.000000
1058.000000,9.27,9.27,5000.000000,15400.000000
1059.000000,9.27,9.27,5000.000000,15500.000000
1060.000000,9.27,9.27,2500.000000,18700.000000
1061.000000,9.27,9.27,2100.000000,18500.000000
1062.000000,9.26,9.27,149300.000000,500.000000
1063.000000,9.27,9.27,53200.000000,18500.000000
1064.000000,9.27,9.27,49300.000000,18400.000000
1065.000000,9.27,9.27,33800.000000,18400.000000
1066.000000,9.26,9.27,157900.000000,4700.000000
1067.000000,9.26,9.27,159200.000000,2400.000000
1068.000000,9.27,9.27,98700.000000,18400.000000
1069.000000,9.27,9.27,76500.000000,26500.000000
1070.000000,9.27,9.27,76100.000000,32000.000000
1071.000000,9.27,9.27,76100.000000,31900.000000
1072.000000,9.27,9.27,200.000000,33000.000000
1073.000000,9.26,9.27,152000.000000,2200.000000
1074.000000,9.26,9.27,148100.000000,700.000000
1075.000000,9.26,9.27,131200.000000,40700.000000
1076.000000,9.26,9.27,130300.000000,40800.000000
1077.000000,9.26,9.27,184800.000000,27800.000000
1078.000000,9.26,9.27,154900.000000,25300.000000
1079.000000,9.26,9.27,152400.000000,23300.000000
1080.000000,9.26,9.27,111400.000000,17800.000000
1081.000000,9.26,9.27,70700.000000,17800.000000
1082.000000,9.26,9.27,70600.000000,17800.000000
1083.000000,9.26,9.27,69800.000000,5300.000000
1084.000000,9.26,9.27,70500.000000,4300.000000
1085.000000,9.26,9.27,89000.000000,4000.000000
1086.000000,9.26,9.27,88500.000000,4000.000000
1087.000000,9.26,9.27,54900.000000,4000.000000
1088.000000,9.26,9.27,50400.000000,3900.000000
1089.000000,9.26,9.27,42400.000000,3900.000000
1090.000000,9.26,9.27,4000.000000,3900.000000
1091.000000,9.26,9.27,3200.000000,7300.000000
1092.000000,9.26,9.27,7900.000000,7100.000000
1093.000000,9.25,9.26,420600.000000,10500.000000
1094.000000,9.25,9.26,405700.000000,6900.000000
1095.000000,9.25,9.26,404600.000000,6900.000000
1096.000000,9.25,9.26,344600.000000,5700.000000
1097.000000,9.25,9.27,338100.000000,110500.000000
1098.000000,9.26,9.27,2000.000000,110500.000000
1099.000000,9.26,9.27,4800.000000,161200.000000
1100.000000,9.26,9.27,4200.000000,13200.000000
1101.000000,9.25,9.26,84500.000000,1400.000000
1102.000000,9.25,9.26,9500.000000,8700.000000
1103.000000,9.25,9.26,9500.000000,8700.000000
1104.000000,9.26,9.27,91300.000000,27400.000000
1105.000000,9.26,9.27,200.000000,27400.000000
1106.000000,9.24,9.27,3300.000000,27400.000000
1107.000000,9.26,9.27,700.000000,28400.000000
1108.000000,9.25,9.27,4900.000000,28400.000000
1109.000000,9.23,9.24,344900.000000,8600.000000
1110.000000,9.25,9.26,5400.000000,1000.000000
1111.000000,9.23,9.25,277700.000000,500.000000
1112.000000,9.23,9.25,277700.000000,500.000000
1113.000000,9.24,9.25,24500.000000,500.000000
1114.000000,9.23,9.24,261200.000000,21500.000000
1115.000000,9.23,9.24,202400.000000,42300.000000
1116.000000,9.23,9.24,202900.000000,22300.000000
1117.000000,9.23,9.24,146700.000000,40600.000000
1118.000000,9.23,9.24,113300.000000,23300.000000
1119.000000,9.23,9.24,107100.000000,24000.000000
1120.000000,9.23,9.24,1300.000000,19200.000000
1121.000000,9.23,9.24,2500.000000,17000.000000
1122.000000,9.23,9.24,7500.000000,17400.000000
1123.000000,9.23,9.24,1000.000000,17700.000000
1124.000000,9.23,9.24,900.000000,17700.000000
1125.000000,9.23,9.24,3800.000000,17700.000000
1126.000000,9.23,9.24,18700.000000,17700.000000
1127.000000,9.23,9.24,31500.000000,27700.000000
1128.000000,9.23,9.24,30500.000000,31800.000000
1129.000000,9.23,9.24,37300.000000,31600.000000
1130.000000,9.23,9.24,38400.000000,31600.000000
1131.000000,9.23,9.24,27600.000000,31600.000000
1132.000000,9.23,9.24,31000.000000,34400.000000
1133.000000,9.23,9.24,35300.000000,33400.000000
1134.000000,9.23,9.24,33000.000000,33400.000000
1135.000000,9.23,9.24,32900.000000,33400.000000
1136.000000,9.23,9.24,32900.000000,32900.000000
1137.000000,9.23,9.24,36700.000000,82900.000000
1138.000000,9.23,9.24,38200.000000,83300.000000
1139.000000,9.23,9.24,39600.000000,83300.000000
1140.000000,9.23,9.24,37700.000000,77500.000000
1141.000000,9.23,9.24,39100.000000,77500.000000
1142.000000,9.23,9.24,17400.000000,73600.000000
1143.000000,9.23,9.24,16400.000000,73600.000000
1144.000000,9.23,9.24,22500.000000,73500.000000
1145.000000,9.23,9.24,24000.000000,72900.000000
1146.000000,9.23,9.24,600.000000,64100.000000
1147.000000,9.23,9.24,9200.000000,64100.000000
1148.000000,9.23,9.24,9500.000000,64100.000000
1149.000000,9.23,9.24,7500.000000,63900.000000
1150.000000,9.23,9.24,2500.000000,60700.000000
1151.000000,9.22,9.24,198100.000000,62700.000000
1152.000000,9.22,9.24,199100.000000,50600.000000
1153.000000,9.23,9.24,200.000000,50100.000000
1154.000000,9.23,9.24,1100.000000,49100.000000
1155.000000,9.23,9.24,4900.000000,47900.000000
1156.000000,9.23,9.24,90600.000000,44700.000000
1157.000000,9.23,9.24,92600.000000,44700.000000
1158.000000,9.23,9.24,96300.000000,44700.000000
1159.000000,9.23,9.24,91800.000000,15900.000000
1160.000000,9.23,9.24,91600.000000,16800.000000
1161.000000,9.23,9.24,91600.000000,15800.000000
1162.000000,9.23,9.24,77000.000000,15300.000000
1163.000000,9.23,9.24,71400.000000,15300.000000
1164.000000,9.23,9.24,46400.000000,15100.000000
1165.000000,9.23,9.24,46400.000000,15100.000000
1166.000000,9.23,9.24,46400.000000,16000.000000
1167.000000,9.23,9.24,46900.000000,15600.000000
1168.000000,9.23,9.24,500.000000,10200.000000
1169.000000,9.23,9.24,500.000000,10600.000000
1170.000000,9.23,9.24,36800.000000,9500.000000
1171.000000,9.23,9.24,36600.000000,6200.000000
1172.000000,9.23,9.24,36600.000000,4100.000000
1173.000000,9.23,9.24,41200.000000,800.000000
1174.000000,9.24,9.25,6200.000000,71500.000000
1175.000000,9.24,9.25,16200.000000,70300.000000
1176.000000,9.24,9.25,45300.000000,64200.000000
1177.000000,9.24,9.25,50100.000000,58400.000000
1178.000000,9.24,9.25,50100.000000,57400.000000
1179.000000,9.24,9.25,50100.000000,55600.000000
1180.000000,9.24,9.25,61100.000000,10100.000000
1181.000000,9.24,9.25,61100.000000,10100.000000
1182.000000,9.24,9.26,61100.000000,3100.000000
1183.000000,9.25,9.26,500.000000,3100.000000
1184.000000,9.24,9.26,63000.000000,2100.000000
1185.000000,9.25,9.26,2000.000000,2100.000000
1186.000000,9.25,9.26,2000.000000,2100.000000
1187.000000,9.25,9.26,102400.000000,2100.000000
1188.000000,9.25,9.26,102400.000000,2100.000000
1189.000000,9.25,9.26,102400.000000,2100.000000
1190.000000,9.25,9.26,117400.000000,2100.000000
1191.000000,9.25,9.26,117400.000000,900.000000
1192.000000,9.26,9.27,1200.000000,157900.000000
1193.000000,9.26,9.27,300.000000,167900.000000
